sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
CARP,UNITED FLOORS,1083,"LISTOWEL, ONTARIO",5663 LINE 86 EAST,?,LISTOWEL,ON,Ontario,N4W3H2,43.72569,-80.93928
PPDM,PHARMA PLUS DRUGMARTS,2261,GARDINER'S VILLAGE,97 MAIN STREET,?,PICTON,ON,Ontario,K0K2T0,44.00521,-77.14662
NSLC,NOVA SCOTIA LIQUOR,2565,LUNENBURG,143 VICTORIA ROAD,?,LUNENBURG,NS,Nova Scotia,B0J2C0,44.37575,-64.32488
SHEL,SHELL CANADA,21AD,Maynooth ON,?,?,?,ON,Ontario,?,45.23067,-77.938348
RN15,RO-NA HARDWARE,876,"16 Highway#6,Ashern",16 HIGHWAY 6,?,ASHERN,MB,Manitoba,R0C0E0,51.17679,-98.34952
PHAR,PHARMASAVE,509,WEST PUBNICO,966 HWY 335,?,WEST PUBNICO,NS,Nova Scotia,B0W3S0,43.66275,-65.79954
FOOD,FOODLAND,9016,PORT AUX CHOIX,MAIN ST,?,PORT AUX CHOIX,NL,Newfoundland & Labrador,A0K4C0,50.705202,-57.354047
2,BMO BANK OF MONTREAL,682,BMO BANK OF MONTREAL,5109 50TH ST,?,DRAYTON VALLEY,AB,Alberta,T7A1R9,53.222991,-114.97643
2,BMO BANK OF MONTREAL,542,BMO BANK OF MONTREAL,158 MAIN ST,?,LUCAN,ON,Ontario,N0M2J0,43.187764,-81.402977
NSLC,NOVA SCOTIA LIQUOR,2585,SHELBURNE,115 KING STREET,SHELBURNE MALL,SHELBURNE,NS,Nova Scotia,B0T1W0,43.76714,-65.31023
HINN,HOLIDAY INN,STCA,STEPHENVILLE,44 QUEEN ST.,?,STEPHENVILLE,NL,Newfoundland & Labrador,A2N2M5,48.54598,-58.57521
SHEL,SHELL CANADA,37G1,156 16e Av O,?,?,?,QC,Quebec,?,45.084122,-73.152099
2,BMO BANK OF MONTREAL,488,BMO BANK OF MONTREAL,118 MAIN ST,?,ROCKY HARBOUR,NL,Newfoundland & Labrador,A0K4N0,49.599455,-57.919122
BEST,BEST WESTERN INTERNAT'NAL,C239,DRYDEN ON,349 Government St,?,Dryden,ON,Ontario,P8N2P4,49.78633,-92.83278
SHEL,SHELL CANADA,3.00E+81,"HWY16, Niton Junction",HIGHWAY 16 WEST,?,NITON JUNCTION,AB,Alberta,T0E1S0,53.617684,-115.768811
LCBO,LCBO,314,Killaloe,161 QUEEN STREET,?,KILLALOE,ON,Ontario,K0J2A0,45.555343,-77.416619
SHEL,SHELL CANADA,3CE1,HIGHWAY 6 RR # 1,?,?,?,ON,Ontario,?,44.972103,-81.287427
CRST,CARSTAR AUTOMOTIVE CANADA,4028,CARSTAR STE SOPHIE,314 RUE MASSON,?,SAINTE-SOPHIE,QC,Quebec,J5J1R1,45.814719,-73.892318
NSLL,NOVA SCOTIA LIQUOR,2506,BRIDGEWATER MALL,349 LAHAVE STREET,BRIDGEWATER MALL,BRIDGEWATER,NS,Nova Scotia,B4V2T6,44.37671,-64.51266
SHEL,SHELL CANADA,A5GA,140 Rue Principale,?,?,?,QC,Quebec,?,48.01068,-65.329216
MALO,VITROPLUS/ZIEBART,10,VP GASPE,164 RUE DE GASPE,?,GASPE,QC,Quebec,G4X1A9,48.841524,-64.489725
2,BMO BANK OF MONTREAL,529,BMO BANK OF MONTREAL,293 10TH STREET,?,HANOVER,ON,Ontario,N4N1P1,44.15196,-81.02796
RN02,RONA LE RENOVATEUR,798,"RT Lavoie,Sainte-Ann","2, ROUTE LAVOIE",?,SAINTE-ANNE-DES-MONTS,QC,Quebec,G4V1Y5,49.13413,-66.46561
LCBO,LCBO,96,Deseronto,78 ST. GEORGE STREET,?,DESERONTO,ON,Ontario,K0K1X0,44.19502,-77.050394
SHEL,SHELL CANADA,1FB3,400 Ravenscliffe Rd,?,?,?,ON,Ontario,?,45.337967,-79.241426
RXAL,REXALL DRUG STORES,7139,SOOKE RD VICTORIA,1880 ISLAND HWY,UNIT 102,COLWOOD,ON,Ontario,V9B1J2,48.44258,-123.4697
17,GOODYEAR CANADA - EAST,2015,COAST TIRE & AUTO,184 CROWN STREET,?,ST-JOHN,NB,New Brunswick,E2L2X7,45.27765,-66.05128
16,GOODYEAR CANADA - CENTRAL,2231,BEVERLY TIRE #122,142 COMMERCE PARK DR,?,BARRIE,ON,Ontario,L4N8W8,44.32339,-79.69476
BEST,BEST WESTERN INTERNAT'NAL,C838,BLUE SPRINGS MO,?,?,?,YT,Yukon,?,999,999
OSSO,SESCO,726,SESCO TORONTO,282 CAMPBELL AVE,?,TORONTO,ON,Ontario,M6P3V6,43.665308,-79.449809
SHL5,SHELL CANADA,DD8H,C80189,5850 BOUL CAVENDISH,?,COTE SAINT-LUC,QC,Quebec,H4W2Y5,999,999
SWPH,SOBEYS WEST PHARMACIES,5389,IGA REDWATER,5028 49 AVE,?,REDWATER,AB,Alberta,T0A2W0,53.950116,-113.111029
LOWE,LOWES CANADA,3201,PICKERING,1899 BROCK ROAD,?,PICKERING,ON,Ontario,L1V4H7,43.845092,-79.07292
RN20,RONA L'ENTREPOT,9823,RONA LAVAL,3065 BOUL LE CARREFOUR,?,LAVAL,QC,Quebec,H7T1C7,45.57224,-73.75583
KD37,BEAUTE STAR BEDARD,11,BEAUTE STAR BEDARD,?,?,?,QC,Quebec,?,999,999
FOOD,FOODLAND,9284,SOURIS CO-OP,85 MAIN ST,?,SOURIS,PE,Prince Edward Island,C0A2B0,46.354881,-62.25446
TIMW,TIM-BR MART WEST,5105,BURNCO-FT MC (TBM),825 MEMORIAL DR,?,FORT MCMURRAY,AB,Alberta,T9K0K4,56.767542,-111.422787
TIMA,TIM-BR MART EAST,6211,HALLIDAYS TIM-BR,184 ARTHUR ST.,?,TRURO,NS,Nova Scotia,B2N1Y4,45.36209,-63.27933
MMER,MONERIS MERCHANT ISSUANCE,11IH,UNCLE ROGERS,5103 50 STREET,?,TOFIELD,AB,Alberta,T0B4J0,53.3684,-112.668
HFQQ,CURIO,FLLQ,THE DIPLOMAT,?,?,?,YT,Yukon,?,999,999
LUMN,LUMEN,11,LUMEN CDD PTE-CLAIRE,4950 RUE LOUIS-B.-MAYER,?,LAVAL,QC,Quebec,H7P0H7,45.562851,-73.793747
FOOD,FOODLAND,9391,FOODLAND QUISPAMSIS,1 MARKET ST,?,QUISPAMSIS,NB,New Brunswick,E2E4B1,45.415783,-65.9457
MMER,MONERIS MERCHANT ISSUANCE,11BD,FLATLAND'S CAFE Q,2625 VICTORIA AVENUE,?,REGINA,SK,Saskatchewan,S4T7T9,50.447112,-104.619018
MMER,MONERIS MERCHANT ISSUANCE,10UA,BRIOCHE URBAN BAKING,401 CORDOVA ST W,?,VANCOUVER,BC,British Columbia,V6B1E5,49.2839345,-123.1095593
MMER,MONERIS MERCHANT ISSUANCE,10ID,RAINFOREST MUSIC,6996 WEST ISLAND HWY UNIT 103,?,BOWSER,BC,British Columbia,V0R1G0,49.435215,-124.675079
MMER,MONERIS MERCHANT ISSUANCE,10B4,SHAWARMA HOUSE ETC,81 HOLLAND AVE,?,OTTAWA,ON,Ontario,K1Y0Y1,45.4010087,-75.7323162
MMER,MONERIS MERCHANT ISSUANCE,102N,3 BROTHERS SHAWARMA,124 OSGOODE ST,3 BROTHERS SHAWARMA & POUTINE INC.,OTTAWA,ON,Ontario,K1N6S3,45.424004,-75.68083
MMER,MONERIS MERCHANT ISSUANCE,0ZYW,EXTENSION DE CILS,55 DU RICHELIEU CH,?,MCMASTERVILLE,QC,Quebec,J3G1T4,45.546285,-73.218309
MMER,MONERIS MERCHANT ISSUANCE,0ZVF,GAME CENTRE,1195 ST CLAIR AVE W,?,TORONTO,ON,Ontario,M6E1B5,43.677642,-79.444072
MMER,MONERIS MERCHANT ISSUANCE,0ZOA,LE CENTRE DE DANSE-D,15 DON-QUICHOTTE BOUL SUITE 344,?,L'ILE-PERROT,QC,Quebec,J7V7X4,45.390682,-73.965788
MMER,MONERIS MERCHANT ISSUANCE,0ZKD,MEDITERRANO,119 3RD AVE S,?,SASKATOON,SK,Saskatchewan,S7K1L6,52.127877,-106.662616
KD34,PARKSIDE RV,?,?,?,?,?,?,Unknown,?,999,999
PHAR,PHARMASAVE,827,PHARMASAVE,107 KING ST,?,NORTH SYDNEY,NS,Nova Scotia,B2A3S1,46.214065,-60.262165
FLDO,FOODLAND ONTARIO,6808,BELMONT FOODLAND,14091 BELMONT ROAD,?,BELMONT,ON,Ontario,N0L1B0,42.88306046,-81.08811951
RXAL,REXALL DRUG STORES,8155,PARRY SOUND,?,?,?,ON,Ontario,?,45.343572,-80.009565
JR59,INDEPENDENT POOL GROUP,42,WEST COAST POOL/SPA,3033 KING GEORGE BLVD,?,SURREY,BC,British Columbia,V4P1B8,999,999
SHEL,SHELL CANADA,DD75,C80159,16 UNION STREET,?,CORNERBROOK,NL,Newfoundland & Labrador,A2H5P8,48.943241,-57.949356
KD17,MARYDEL HOMES,2,MARYDEL HOMES,100 CASTER AVE,?,WOODBRIDGE,ON,Ontario,L4L5Y9,999,999
SHL5,SHELL CANADA,DD5F,C80133,5174 167 AVE NW,?,EDMONTON,AB,Alberta,T5Y0R5,999,999
16,GOODYEAR CANADA - CENTRAL,2166,BENSON COMM #64,1000 OXFORD AVE,?,BROCKVILLE,ON,Ontario,K6V3E4,44.61701,-75.67972
MFR1,MERCHANT FUNDED REWARDS,3,TOYS'R'US,?,?,?,ON,Ontario,?,999,999
PJCQ,JEAN COUTU,385,MONTREAL,1224 NOTRE-DAME OUEST,?,MONTREAL,QC,Quebec,H3C1K5,45.494052,-73.564047
PP73,PIZZA 73,53,5240-199 STREET,5240 199 ST NW,?,EDMONTON,AB,Alberta,T6M0E4,53.48846,-113.66468
PP73,PIZZA 73,45,105 THICKWOOD BLVD,105 THICKWOOD BLVD,?,FORT MCMURRAY,AB,Alberta,T9H5E5,56.733907,-111.424545
MLCC,MANITOBA LIQ CONTROL COMM,78,JEFFERSON EXPRESS,920 JEFFERSON AVE,?,WINNIPEG,MB,Manitoba,R2P1W1,49.945821,-97.157146
MCHL,MICHAELS,4926,"LEDUC, AB","5406 DISCOVERY WAY; UNIT B, STE 102",?,LEDUC,AB,Alberta,T9E8L9,53.27118,-113.564798
PP73,PIZZA 73,1018,OLD BANFF COACH RD,PHONE AND ONLINE ORDERS,?,CALGARY,AB,Alberta,T3H5R8,51.06093,-114.18143
PP73,PIZZA 73,1025,14728 STONY PLAIN RD,PHONE AND ONLINE ORDERS,?,EDMONTON,AB,Alberta,T5N3S4,53.54226,-113.57491
HFGI,HILTON GARDEN INN,BTVW,BURLINGTON DWNTWN,?,?,?,YT,Yukon,?,999,999
HFHH,HILTON,TAOG,QINGDAO GOLDEN BCH,?,?,?,NU,Nunavut,?,999,999
RXAL,REXALL DRUG STORES,6936,54 FRONT ST NIPIGON,?,?,?,ON,Ontario,?,49.012182,-88.263529
JR97,BEAUTIFUL SMILES DENTURE,1,BEAUTIFUL SMILES,?,?,?,BC,British Columbia,?,999,999
IOCC,IRVING COUCHE-TARD CSTORE,2134,NEW MINAS CK (NS),9319 COMMERCIAL STREET,?,NEW MINAS,NS,Nova Scotia,B4N3G2,45.069626,-64.44135
LUBX,LUBEXX,1076,5301-50 AVE,5301-50 AVE,?,BONNYVILLE,AB,Alberta,T9N2J7,54.268006,-110.749249
SBYO,SOBEYS ONTARIO,851,WHITBY,1615 DUNDAS ST E,?,WHITBY,ON,Ontario,L1N2L1,43.886658,-78.912072
SBYO,SOBEYS ONTARIO,715,ALGONQUIN,"1899 ALGONQUIN AVE., NORTH BAY",?,ALGONQUIN,ON,Ontario,P1B4Y3,46.3324901,-79.4662877
SBYO,SOBEYS ONTARIO,7466,ORANGEVILLE,500 RIDDELL RD,?,ORANGEVILLE,ON,Ontario,L9W5L1,43.9026341,-80.1214052
SBYO,SOBEYS ONTARIO,6703,PICTON,97 PICTON MAIN ST,?,PICTON,ON,Ontario,K0K2T0,44.00531,-77.146148
FLDO,FOODLAND ONTARIO,6395,PARKWAY FOREST,"107 PARKWAY FOREST DRIVE, WILLOWDALE",?,PARKWAY FOREST,ON,Ontario,M2J1L8,43.773867,-79.341332
LUBX,LUBEXX,1033,220 52 STREET NE,220 52 STREET NE,?,CALGARY,AB,Alberta,T2A4K8,51.05456,-113.956228
LUBX,LUBEXX,1016,140-6800 48 AVE,140-6800 48 AVE,?,CAMROSE,AB,Alberta,T4V4T1,53.018062,-112.86075
JSLB,JUST LUBES,3486,228 TAYLOR RD,228 - UNIT 3C TAYLOR RD,?,BRACEBRIDGE,ON,Ontario,P1L1J9,45.04645,-79.300337
QLO1,QLO,2851,746 ONTARIO STREET,746 ONTARIO STREET,?,STRATFORD,ON,Ontario,N5A3J8,43.370983,-80.95702
HISB,STAYBRIDGE SUITES,EGSB,WEST EDMONTON,?,?,?,AB,Alberta,?,999,999
IOXG,IRVING,E302,SHERBROOKE GARAGE,8152 MAIN ST,?,SHERBROOKE,NS,Nova Scotia,B0J3C0,45.143411,-61.981453
IOMC,IRVING C-STORE,J018,BISHOP FALLS MAIN ST,62 MAIN ST,?,BISHOP FALLS,NL,Newfoundland & Labrador,A0H1C0,48.990639,-55.531043
IOCG,IRVING COUCHE-TARD,2108,TORBAY RD CIRCLE K,184 TORBAY RD,?,ST. JOHN'S,NL,Newfoundland & Labrador,A1A2H3,47.595127,-52.709629
IOMC,IRVING C-STORE,2490,SHEET HARBOUR IRVING,22512 ROUTE 7,?,SHEET HARBOUR,NS,Nova Scotia,B0J3B0,44.924535,-62.540136
IOCG,IRVING COUCHE-TARD,2098,CLARKES BEACH CK,55 CONCEPTION BAY N HWY,?,CLARKES BEACH,NL,Newfoundland & Labrador,A0A1W0,47.543006,-53.277808
IOCC,IRVING COUCHE-TARD CSTORE,2097,BISHOP FALLS CK,100 TRANS CANADA HWY,?,BISHOP FALLS,NL,Newfoundland & Labrador,A0H1C0,49.009342,-55.507982
IOMG,IRVING,2079,NEW GERMANY SVC CTR,5254 ROUTE 10,?,NEW GERMANY,NS,Nova Scotia,B0R1E0,44.546694,-64.724309
IOCC,IRVING COUCHE-TARD CSTORE,2050,BRIDGEWATER NS CK,463 NORTH ST,?,BRIDGEWATER,NS,Nova Scotia,B4V2W6,44.39154,-64.52728
IOMC,IRVING C-STORE,C014,MCLAUGHLIN DR STORE,369 MCLAUGHLIN DR,?,MONCTON,NB,New Brunswick,E1A4R3,46.116441,-64.783973
JR80,SIMPLY LAUNDRY,?,?,?,?,?,?,Unknown,?,999,999
BUDG,BUDGET RENT A CAR,0XDA,T LAVAL VIMONT,25 BOUL SAINT-MARTIN E,?,LAVAL,QC,Quebec,H7M1Z1,45.582479,-73.704509
JR72,ROSEHAVEN HOMES,?,?,?,?,?,?,Unknown,?,999,999
SH8M,SHELL COMMERCIAL-GRAND,?,?,?,?,?,?,Unknown,?,999,999
RXAL,REXALL DRUG STORES,5107,ALYMER REXALL,?,?,?,ON,Ontario,?,999,999
IONG,IRVING NEEDS FUEL,E013,NEEDS PORTERS LAKE,5203 HIGHWAY 7,?,PORTERS LAKE,NS,Nova Scotia,B3E1J7,44.744622,-63.284962
IONC,IRVING NEEDS C-STORE,D113,NEEDS SPRINGHILL IRV,66 JUNCTION RD,?,SPRINGHILL,NS,Nova Scotia,B0M1X0,45.657669,-64.060438
SHEL,SHELL CANADA,DD5G,SOBEY'S-CARAQUET,153 BOUL ST-PIERRE O,?,CARAQUET,NB,New Brunswick,E1W1B6,47.790786,-64.955188
RXAL,REXALL DRUG STORES,7125,PANDORA AVE,1105 PANDORA AVENUE,?,VICTORIA,BC,British Columbia,V8V3P9,48.426491,-123.352722
RXAL,REXALL DRUG STORES,7233,BASELINE/BREMNER DR,"101 BREMNER DRIVE, UNIT 5",?,SHERWOOD PARK,AB,Alberta,T8H0M5,53.5418554,-113.3082458
NATU,NCR USA,62C5,PEORIA,?,?,?,NT,Northwest Territories,?,999,999
JR60,ACTION CAR & TRUCK ACCESS,19,ACTION TRUCK,?,?,?,ON,Ontario,?,999,999
JR40,STORAGE MART,28,STORAGEMART,?,?,?,ON,Ontario,?,999,999
IGAW,IGA WEST,3205,IGA CHETWYND,5001 50 AVE,?,CHETWYND,BC,British Columbia,V0C1J0,55.699102,-121.631765
SHL5,SHELL CANADA,DD52,KING RD & DUFFERIN S,1700 KING RD,?,KING CITY,ON,Ontario,L7B1A0,999,999
SAFL,SAFEWAY WINE AND SPIRITS,8992,SOUTH TRAIL LIQUOR,4915 130 AVENUE SE,?,CALGARY,AB,Alberta,T2Z3V8,50.93181,-113.97188
33,CENTURY 21,6065,PRO-SERVICES,205-846 BOUL DU CURE-LABELLE,?,BLAINVILLE,QC,Quebec,J7C2K9,45.669935,-73.87455
LUBX,LUBEXX,1000,JIFFY LUBE - 1000,8860,60 AVENUE,EDMONTON,AB,Alberta,T6E6A6,53.495922,-113.464204
JR59,INDEPENDENT POOL GROUP,3,MCBURNEY POOLS & SPA,100 FRAZEE AVE,?,DARTMOUTH,NS,Nova Scotia,B3B0A2,999,999
SBYW,SOBEYS WEST,1117,BRIDLEWOOD,"100, 2335-162 AVENUE SW",?,CALGARY,AB,Alberta,T2Y4S6,50.905269,-114.113317
SHEL,SHELL CANADA,DD57,TRUNK RD - ISLAND HW,436 TRUNK RD,?,DUNCAN,BC,British Columbia,V9L2P7,48.776725,-123.699642
THRF,THRIFTY FOODS,9461,CLOVERDALE,3475 QUADRA ST,?,VICTORIA,BC,British Columbia,V8X1G8,48.454935,-123.358881
THRF,THRIFTY FOODS,9457,BROADMEAD,100 - 777 ROYAL OAK DRIVE,?,VICTORIA,BC,British Columbia,V8X4V1,48.497944,-123.38368
SHEL,SHELL CANADA,DD4D,10 FIRESIDE GATE,10 FIRESIDE GATE,?,COCHRANE,AB,Alberta,T4C0V9,51.159558,-114.477432
HFHW,HOMEWOOD SUITES,NPTM,NEWPORT MIDDLTWN,?,?,?,YT,Yukon,?,999,999
JR46,7130996 CANADA INC,1,DR TUBS REGLAZING,?,?,?,ON,Ontario,?,999,999
SHL3,SHELL CANADA,DD4C,SOBEY'S - VAL D'OR,2965 CHEMIN SULLIVAN,?,VAL D'OR,QC,Quebec,J9P0B8,999,999
SHL5,SHELL CANADA,DD50,SOBEY'S WILLOW GROVE,498 ROUTE 111,?,WILLOW GROVE,NB,New Brunswick,E2S1G7,999,999
JR42,PRO DEN LABORATORY LTD.,1,PRO-DENT LABORATORY,?,?,?,NS,Nova Scotia,?,999,999
KNTC,KBS KENT CARD,63,KENSINGTON,64 BROADWAY ST.,?,KENSINGTON,PE,Prince Edward Island,C0B1M0,999,999
SHEL,SHELL CANADA,DD4B,4459 RTE FOSSAMBAULT,4459 RTE DE FOSSAMBAULT,?,STE-CATHERINE-DE-LA-,QC,Quebec,G3N2Z6,46.838398,-71.608053
5000,SAFEWAY CONVERSION,8825,PARK MEADOWS MALL,1702 23 STREET NORTH,?,LETHBRIDGE,AB,Alberta,T1H5B3,49.71977,-112.81049
5000,SAFEWAY CONVERSION,8889,PALLISADES SQUARE,12950 137 AVENUE NW,?,EDMONTON,AB,Alberta,T5L5G1,53.59968,-113.54559
5000,SAFEWAY CONVERSION,8842,GLENMORE LANDING,1600 90 AVENUE SW,?,CALGARY,AB,Alberta,T2V5A8,50.97238,-114.09649
5000,SAFEWAY CONVERSION,8835,WHITEHORN,3550 32 AVENUE NE,?,CALGARY,AB,Alberta,T1Y6J2,51.08162,-113.9827
5000,SAFEWAY CONVERSION,8812,DOWNTOWN CALGARY,813 11 AVENUE SW,?,CALGARY,AB,Alberta,T2R0E6,51.04278,-114.08133
BUDG,BUDGET RENT A CAR,3485,MONT-TREMBLANT AIRPO,150 CH ROGER-HEBERT,?,LA MACAZA,QC,Quebec,J0T1R0,46.37437,-74.77143
BUDG,BUDGET RENT A CAR,4388,ST. JOHN'S TRUCK,85 KENMOUNT ROAD,?,ST JOHNS,NL,Newfoundland & Labrador,A1B3N7,47.55729,-52.75942
KENT,KENT BUILDING SUPPLIES,75,SHAMROCK TRUSS-PEI,88 W.B. MACPHAIL DR,?,CORNWALL,PE,Prince Edward Island,C0A1H0,46.24155,-63.199884
KENT,KENT BUILDING SUPPLIES,74,ATLAS-RICHIBUCTO,102 INDUSTRIAL PARK,?,RICHIBUCTO,NB,New Brunswick,E4W4A4,46.663928,-64.877349
HFWA,THE WALDORF ASTORIA,OGGH,GRAND WAILEA,?,?,?,YT,Yukon,?,999,999
HFCI,CONRAD,SELC,SEOUL,?,?,?,NU,Nunavut,?,999,999
HFGI,HILTON GARDEN INN,DAYD,DAYTON,?,?,?,YT,Yukon,?,999,999
HFHP,HAMPTON,YCWL,CHILLIWACK,?,?,?,BC,British Columbia,?,999,999
SHL3,SHELL CANADA,DD48,14265 HWY 41,14265 HIGHWAY 41,?,CLOYNE,ON,Ontario,K0H1K0,999,999
BEST,BEST WESTERN INTERNAT'NAL,C709,COLORADO SPRINGS CO,?,?,?,YT,Yukon,?,999,999
SPLS,STAPLES,256,PICKERING,1755 PICKERING PKY,?,PICKERING,ON,Ontario,L1V6K5,43.843753,-79.0655
WRPL,WHIRLPOOL CANADA,393,ARCTIC COOPERATIVES,1645 INKSTER BOULEVARD,?,WINNIPEG,MB,Manitoba,R2X2W7,49.94613,-97.1827
WRPL,WHIRLPOOL CANADA,281,DONS APPLIANCES,126 ERIE ST N.,?,LEAMINGTON,ON,Ontario,N8H2Z5,42.05796,-82.59934
WRPL,WHIRLPOOL CANADA,351,F.A.S.T FURNITURE,115 DISCO ST.,?,SYDNEY,NS,Nova Scotia,B1P5V8,46.142565,-60.177466
WRPL,WHIRLPOOL CANADA,186,WIENS FURNITURE,132 MAIN STREET,?,NIVERVILLE,MB,Manitoba,R0A1E0,49.60585,-97.0427
WRPL,WHIRLPOOL CANADA,325,JESSIE COLLINS SON,169 MAIN ROAD,?,HARE BAY,NL,Newfoundland & Labrador,A0G2P0,48.93808,-54.48174
WRPL,WHIRLPOOL CANADA,410,BROWNS APPLIANCES,108 MAPLE STREET,?,PORT CARLING,ON,Ontario,P0B1J0,45.121143,-79.577764
WRPL,WHIRLPOOL CANADA,138,UNIVERS DU MEUBLE,5697 COUNTRY ROAD #9,?,SAINT-ISIDORE,ON,Ontario,K0C2B0,45.3885,-74.90736
SHL5,SHELL CANADA,DD3F,2049 ROUTE 640,2049 ROUTE 640,?,HANWELL,NB,New Brunswick,E3A1B1,999,999
WRPL,WHIRLPOOL CANADA,358,WATERFORD HARDWARE,3 ALICE ST,?,WATERFORD,ON,Ontario,N0E1Y0,42.93528,-80.29136
WRPL,WHIRLPOOL CANADA,126,LES APPAREILS MENAGE,121 AVE DU PONT NORD,?,ALMA,QC,Quebec,G8B5C1,48.55124,-71.64081
WRPL,WHIRLPOOL CANADA,13,SEIDELS FURNITURE,23 ELIZABETH SQUARE,?,ELLIOT LAKE,ON,Ontario,P5A1Y8,46.38447,-82.64799
WRPL,WHIRLPOOL CANADA,244,NOW APPLIANCE AND BE,133 INDUSTRIAL RD,?,WHITEHORSE,YT,Yukon,Y1A2T8,60.73728,-135.07544
SHEL,SHELL CANADA,DCHG,326 ST-GERMAIN EST,326 RUE SAINT-GERMAIN E,?,RIMOUSKI,QC,Quebec,G5L9B2,48.46073,-68.5178
SHEL,SHELL CANADA,A64B,PHILIPPE GOSSELIN,1210 BOULEVARD DE LA GABELLE,?,SAINT-ETIENNE-DES-GR,QC,Quebec,G0X2P0,46.44734,-72.7713
ALAU,ALAMO USA,P1A1,SAN JUAN,?,?,?,NT,Northwest Territories,?,999,999
CR44,CAN-RAD BEAUTY LTD.,125,CLASSIC BEAUTY SUPLY,1749 JANE ST,?,NORTH YORK,ON,Ontario,M9N2S5,999,999
GEWL,GERRIE ELECTRIC WHOLESAL,601,MILTON - PROJECTS,313 STEELES AVE E,?,MILTON,ON,Ontario,L9T1Y2,43.52412,-79.89129
GEWL,GERRIE ELECTRIC WHOLESAL,201,LIGHTING STUDIO DISP,355 IROQUOIS SHORE RD,?,OAKVILLE,ON,Ontario,L6H1M3,43.46516,-79.68577
JR09,WATER DEPOT 1720618 ONT.,17,WATER DEPOT NEWMARKT,16700 BAYVIEW AVE,?,NEWMARKET,ON,Ontario,L3X1W1,44.04035,-79.451775
RM99,SERVICE CORPORATION INT'L,183,THOMPSON IN THE PARK,?,?,?,MB,Manitoba,?,999,999
RN15,RO-NA HARDWARE,3315,RONA LEAMINGTON,274 TALBOT ST W,?,LEAMINGTON,ON,Ontario,N8H4H4,42.04636,-82.6227
BW61,CANADA HEARING CENTRE LTD,23,HEARINGLIFE CANADA,?,?,?,MB,Manitoba,?,999,999
LMWB,MM AUTO-ISSUANCE VIA WEB,1213,ASHFORD.COM,?,?,?,ON,Ontario,?,999,999
LMWB,MM AUTO-ISSUANCE VIA WEB,1114,1800PETMEDS.COM,?,?,?,ON,Ontario,?,999,999
LMWB,MM AUTO-ISSUANCE VIA WEB,1043,BABYUNIVERSE.COM,?,?,?,ON,Ontario,?,999,999
LMWB,MM AUTO-ISSUANCE VIA WEB,1078,ICHOTELSGROUP.COM,?,?,?,ON,Ontario,?,999,999
IGAQ,IGA SUPERMARKETS,4304,BONICHOIX GUYDESBOIS,209 RTE 132,?,SAINTE-THERESE-DE-GA,QC,Quebec,G0C3B0,48.40791,-64.42464
LCBO,LCBO,279,NORTH PARK PLAZA,NORTH PARK PLAZA,1339 LAWRENCE AVE W,NORTH YORK,ON,Ontario,M6L1A4,43.709168,-79.476655
SHEL,SHELL CANADA,DD38,SOBEYS - GRANDE ILE,5 RUE GRANDE-ILE,?,SALABERRY-DE-VALLEYF,QC,Quebec,J6S3L7,45.261325,-74.131345
BEST,BEST WESTERN INTERNAT'NAL,C688,WEST SPRINGFIELD MA,?,?,?,YT,Yukon,?,999,999
SHEL,SHELL CANADA,DD35,"1007, ROUTE 107","1007, ROUTE 107",?,SAINT-GEORGES DE BEAUCE,QC,Quebec,G5Y0A1,46.13091,-70.67724
SHL6,SHELL CANADA,DD21,860 RUE PRINCIPALE,860 RUE PRINCIPALE,?,SAINT-DONAT-DE-MONTC,QC,Quebec,J0T2C0,999,999
UNIS,AUTO PLUS AUTO PART PLUS,8035,PD'A SELECT AMQUI,108 BOUL SAINT-BENOIT E,?,AMQUI,QC,Quebec,G5J2C3,48.46049,-67.42196
SHL5,SHELL CANADA,DD1A,LAGIMODIERE & SAGE,50 SAGE CREEK BLVD,?,WINNIPEG,MB,Manitoba,R3X0J6,999,999
SHL3,SHELL CANADA,DD1B,MCIVOR & COPPERPOND,14588 MCIVOR BLVD SE,?,CALGARY,AB,Alberta,T2Z0Z7,999,999
IGAQ,IGA SUPERMARKETS,8497,IGA MICHEL LEMIEUX,450 BOUL RICHELIEU,?,RICHELIEU,QC,Quebec,J3L3R9,45.44405,-73.24819
BW95,SECURTEK MONITORING SOLUT,6,BOLT SECURITY,?,?,?,AB,Alberta,?,999,999
MARM,MARKETING MANAGEMENT,?,?,?,?,?,?,Unknown,?,999,999
33,CENTURY 21,3359,EXPLORER REALTY INC.,165 MILL STREET,?,ALMONTE,ON,Ontario,K0A1A0,45.22509,-76.19276
NAVY,OLD NAVY,4512,HEARTLAND T/C,5935 MAVIS ROAD,UNITS 6A&B,MISSISSAUGA,ON,Ontario,L5R3T7,43.61113,-79.69347
BW98,THE GOLD EXCHANGE,?,?,?,?,?,?,Unknown,?,999,999
IGAQ,IGA SUPERMARKETS,686,IGA J-MTREMBLAY&FILS,134 BOUL SAINT-MICHEL,?,DOLBEAU-MISTASSINI,QC,Quebec,G8L5J7,48.89455,-72.20502
