sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
SHEL,SHELL CANADA,396A,23201 Dewdney Trunk Road,23212 DEWDNEY TRUNK ROAD,?,MAPLE RIDGE,BC,British Columbia,V2X3K2,49.220274,-122.578779
PJCQ,JEAN COUTU,13,999 DE BOURGOGNE,"999, AVENUE DE BOURGOGNE",?,SAINTE-FOY,QC,Quebec,G1W4S6,46.765049,-71.311795
LCBO,LCBO,266,Petawawa,2 RENFREW STREET,?,PETAWAWA,ON,Ontario,K8H2H3,45.88698,-77.258621
BEST,BEST WESTERN INTERNAT'NAL,C171,LANGLEY BC,5978 Glover Rd,?,Langley,BC,British Columbia,V3A4H9,49.11154,-122.64607
HINN,HOLIDAY INN,YZAE,TORONTO,600 DIXON ROAD,?,TORONTO,ON,Ontario,M9W1J1,43.69104,-79.57397
LCBO,LCBO,497,2025 GUELPH LINE,2025 GUELPH LINE,?,BURLINGTON,ON,Ontario,L7P4M8,43.365486,-79.822938
2,BMO BANK OF MONTREAL,601,BMO BANK OF MONTREAL,9 BEVERLEY ST W,?,ST. GEORGE,ON,Ontario,N0E1N0,43.245416,-80.25327
5,SAFEWAY,82,NEW WESTMINISTER,220-800 CARNARVON ST,?,NEW WESTMINSTER,BC,British Columbia,V3M0G3,49.202454,-122.911717
2,BMO BANK OF MONTREAL,807,BMO BANK OF MONTREAL,3737 MAJOR MACKENZIE DR,?,WOODBRIDGE,ON,Ontario,L4H0A2,43.844975,-79.558772
DEMF,DAOUST & MICHEL FORGET,D018,4641 Levesque Laval,"4641, BOUL. LEVESQUE",?,LAVAL,QC,Quebec,H7C1M8,45.60479,-73.64619
CRST,CARSTAR AUTOMOTIVE CANADA,129,CARSTAR PETERBOROUGH,570 NEAL DRIVE,HWY 115 & BENSFORD DRIVE,PETERBOROUGH,ON,Ontario,K9J6X7,44.27521,-78.30564
LCBO,LCBO,644,1067 ONTARIO ST,1067 ONTARIO ST,?,STRATFORD,ON,Ontario,N5A6W6,43.370742,-80.947437
GMCL,GENERAL MOTORS,B132,DMARSHALL MOTCITY,11044 - 100 STREET,?,GRANDE PRAIRIE,AB,Alberta,T8V2N1,55.18198,-118.795168
GMCL,GENERAL MOTORS,I250,JACK MAY CH B G,3788 PRINCE OF WALES DRIVE,?,OTTAWA,ON,Ontario,K2C3H1,45.25127,-75.71063
GMCL,GENERAL MOTORS,C116,KANTOLA MOTORS,200 LAKEVIEW DR.,P.O. BOX 1280,KENORA,ON,Ontario,P9N3X7,49.76739,-94.50244
GMCL,GENERAL MOTORS,B180,DAVIS G B,115 W.T. HILL BOULEVARD S.,?,LETHBRIDGE,AB,Alberta,T1J4T6,49.69789,-112.78749
GMCL,GENERAL MOTORS,D895,STRATFORD MOT-(1984),824 ONTARIO STREET,?,STRATFORD,ON,Ontario,N5A3K1,43.371139,-80.953662
GMCL,GENERAL MOTORS,B107,WESTGATE CH,10145 - 178TH STREET,?,EDMONTON,AB,Alberta,T5S1E4,53.54229,-113.62717
UNIS,AUTO PLUS AUTO PART PLUS,6015,TASCO SUPPLIES LTD,336 NORTH MACKENZIE AVE.,?,WILLIAMS LAKE,BC,British Columbia,V2G1N7,52.13212,-122.14802
G437,GOODWRENCH SERVICE,H528,HOGAN CH B G,5000 SHEPPARD AVENUE EAST,?,SCARBOROUGH,ON,Ontario,M1S4L9,43.79261,-79.2452
MART,MARLIN TRAVEL,1276,MARLIN TRAVEL,411 DURHAM ST EAST,?,WALKERTON,ON,Ontario,N0G2V0,44.13266,-81.14678
18,GOODYEAR CANADA - WEST,1068,TWILIGHT TIRE & SERV,JCT HWY 9 & 49 P O BOX 1030,?,PREECEVILLE,SK,Saskatchewan,S0A3B0,51.95448,-102.64437
19,FOUNTAIN TIRE,76,FOUNTAIN TIRE F076,4714 HIGHWAY 49,?,SPIRIT RIVER,AB,Alberta,T0H3G0,55.78136,-118.83602
LCBO,LCBO,516,BAYSVILLE,2641 MUSKOKA RD 117 E,?,BAYSVILLE,ON,Ontario,P0B1A0,45.14823,-79.11883
33,CENTURY 21,3212,MILLENNIUM INC.,1 BRUCE ST NORTH PO BOX 95,?,THORNBURY,ON,Ontario,N0H2P0,44.56187,-80.45286
RN04,BOTANIX,956,"SEIGNEUR,L'ISLE-VERT",136 RUE SEIGNEUR-COTE,?,L'ISLE-VERTE,QC,Quebec,G0L1K0,48.01541,-69.33862
SHEL,SHELL CANADA,1E3H,Junction 17 & 45,?,JUNCTION 17 and 45,ALCURVE,AB,Alberta,T9V1M6,53.512742,-110.006802
SHEL,SHELL CANADA,A649,MICHAUD PETROLEUM IN,443 CH TOBIQUE,?,GRAND FALLS,NB,New Brunswick,E3Y1B5,47.05234,-67.72068
RN15,RO-NA HARDWARE,832,RONA 11 NORTH ST E.,11 NORTH ST. EAST,?,WINGHAM,ON,Ontario,N0G2W0,43.89659,-81.30443
LCBO,LCBO,292,Ear Falls,EAR FALLS PLAZA,?,EAR FALLS,ON,Ontario,P0V1T0,50.640095,-93.240457
RN15,RO-NA HARDWARE,276,"95th Str,High Level",11305-95TH STREET,?,HIGH LEVEL,AB,Alberta,T0H1Z0,58.50595,-117.13754
SHEL,SHELL CANADA,3F81,5939 MELLORS FRNT RD,5939 MELLORS FRONTAGE ROAD,?,SALMON ARM,BC,British Columbia,V1E2R1,50.656075,-119.199388
IRIS,IRIS,401,IRIS,2 BOUL TACHE EST,?,MONTMAGNY,QC,Quebec,G5V1B7,46.98149,-70.56368
PJCQ,JEAN COUTU,271,DONNACONA,"430, ROUTE 138",?,DONNACONNA,QC,Quebec,G0A1T0,46.681258,-71.722312
GMCL,GENERAL MOTORS,B004,GRIZZLY TR MOT. - BR,6201-49TH STREET,?,BARRHEAD,AB,Alberta,T7N1A4,54.136302,-114.401597
BOST,BOSTON PIZZA INTERN'AL,262,PINCHER CREEK,?,?,?,AB,Alberta,?,49.4989,-113.94807
GMCL,GENERAL MOTORS,B146,CHINOOK CH B G,363 GREGG AVENUE,?,HINTON,AB,Alberta,T7V2A7,53.39827,-117.59481
GMCL,GENERAL MOTORS,B238,EDWARDS GARAGE,4403 - 42ND AVENUE,P.O. BOX 880,ROCKY MOUNTAIN HOUSE,AB,Alberta,T4T1A6,52.36296,-114.90895
GMCL,GENERAL MOTORS,D695,HURON MOTORS,640 MAIN STREET SOUTH,?,EXETER,ON,Ontario,N0M1S0,43.337586,-81.478626
GMCL,GENERAL MOTORS,B256,STETTLER MOT (1998),6115 - 50TH AVENUE,P.O. BOX 1508,STETTLER,AB,Alberta,T0C2L1,52.32477,-112.729749
SHEL,SHELL CANADA,A608,186 ROUTE 132 OUEST,?,?,?,QC,Quebec,?,48.523941,-64.215349
FOOD,FOODLAND,9053,RODDICKTON,75 CLOUD DR.,?,RODDICKTON,NL,Newfoundland & Labrador,A0K4P0,50.868259,-56.116486
